Number,GivenName,Surname,OfficialEmail,SSN
d9000,Ines,Beneventi,Ines.Beneventi@politu.it,XT6141393
d9001,Nino,Lucciano,Nino.Lucciano@politu.it,BC32576022
d9002,Agostina,Costa,Agostina.Costa@politu.it,OV16025746
d9003,Catena,Piazza,Catena.Piazza@politu.it,RU88386453
d9004,Marisa,Fiorentini,Marisa.Fiorentini@politu.it,SK31148026
d9005,Ester,Genovesi,Ester.Genovesi@politu.it,OH66365489
d9006,Marina,Castiglione,Marina.Castiglione@politu.it,YE28316232
d9007,Pupa,Sal,Pupa.Sal@politu.it,ZZ96310067
d9008,Landro,Toscano,Landro.Toscano@politu.it,PR25217515
d9009,Blanda,Lombardo,Blanda.Lombardo@politu.it,QF55328037
d9010,Marisa,Greece,Marisa.Greece@politu.it,FH15147632
d9011,Amedeo,Romani,Amedeo.Romani@politu.it,OZ75294858
d9012,Luca,Panicucci,Luca.Panicucci@politu.it,QB25520002
d9013,Alessandro,Bellucci,Alessandro.Bellucci@politu.it,XM48903096
d9014,Abele,Arcuri,Abele.Arcuri@politu.it,NY87685104
d9015,Adalberto,Toscano,Adalberto.Toscano@politu.it,CJ5058163
d9016,Alvise,Mancini,Alvise.Mancini@politu.it,BE11240592
d9017,Algiso,Milano,Algiso.Milano@politu.it,US6004065
d9018,Aiace,Endrizzi,Aiace.Endrizzi@politu.it,OW43310084
d9019,Giacinto,Siciliani,Giacinto.Siciliani@politu.it,VQ6652033
d9020,Giulia,Gallo,Giulia.Gallo@politu.it,OT84930173
d9021,Adalberto,Giordano,Adalberto.Giordano@politu.it,EP17762478
d9022,Liberato,Panicucci,Liberato.Panicucci@politu.it,FR24433975
d9023,Annunziata,Endrizzi,Annunziata.Endrizzi@politu.it,XW92383698
d9024,Imelda,Li Fonti,Imelda.Li Fonti@politu.it,JM22371522
d9025,Armando,Endrizzi,Armando.Endrizzi@politu.it,QV29382198
d9026,Sara,Romano,Sara.Romano@politu.it,GU55984300
d9027,Callisto,Marino,Callisto.Marino@politu.it,NS51515722
d9028,Anna,Angelo,Anna.Angelo@politu.it,UQ39611512
d9029,Gilberto,Monaldo,Gilberto.Monaldo@politu.it,PC87762814
d9030,Maurizio,Genovese,Maurizio.Genovese@politu.it,EN75339668
d9031,Silvio,Lucciano,Silvio.Lucciano@politu.it,PE10114229
d9032,Felicita,Fiorentino,Felicita.Fiorentino@politu.it,UD96997191
d9033,Benedetto,Milano,Benedetto.Milano@politu.it,FQ90137783
d9034,Luciana,Trentini,Luciana.Trentini@politu.it,DF75234188
d9035,Marianna,Romani,Marianna.Romani@politu.it,EQ21821079
d9036,Geraldino,Panicucci,Geraldino.Panicucci@politu.it,TD52661810
d9037,Francesco,Siciliano,Francesco.Siciliano@politu.it,ND1058262
d9038,Vittore,Genovesi,Vittore.Genovesi@politu.it,RZ65971911
d9039,Crescente,Mazzanti,Crescente.Mazzanti@politu.it,NJ14764721
d9040,Abbondanzio,Padovesi,Abbondanzio.Padovesi@politu.it,YK37954817
d9041,Luisa,Onio,Luisa.Onio@politu.it,CH74190998
d9042,Alfreda,Costa,Alfreda.Costa@politu.it,QY25168611
d9043,Dora,Schiavone,Dora.Schiavone@politu.it,JJ36467985
d9044,Gerardina,Lori,Gerardina.Lori@politu.it,FC12188940
d9045,Claudia,Boni,Claudia.Boni@politu.it,FQ7881466
d9046,Carmen,Udinesi,Carmen.Udinesi@politu.it,JL73539296
d9047,Gherardo,Capon,Gherardo.Capon@politu.it,RG17768024
d9048,Virginio,Costa,Virginio.Costa@politu.it,VR26246147
d9049,Mirella,De Luca,Mirella.De Luca@politu.it,ZV60590195
d9050,Cupido,Monaldo,Cupido.Monaldo@politu.it,FE74221140
d9051,Gastone,Dellucci,Gastone.Dellucci@politu.it,UI41231862
d9052,Viviana,Pisano,Viviana.Pisano@politu.it,FP59017166
d9053,Quartilla ,Barese,Quartilla .Barese@politu.it,TL99611293
d9054,Attilio,Marchesi,Attilio.Marchesi@politu.it,ZZ62900919
d9055,Rosaura,Greece,Rosaura.Greece@politu.it,JY96486799
d9056,Melissa,Lucchese,Melissa.Lucchese@politu.it,JN3593909
d9057,Merico,Monaldo,Merico.Monaldo@politu.it,AR57019665
d9058,Elisa,Giordano,Elisa.Giordano@politu.it,JS41939575
d9059,Manfredo,Iadanza,Manfredo.Iadanza@politu.it,VX76696984
d9060,Amedeo,Arcuri,Amedeo.Arcuri@politu.it,UU9073042
d9061,Emiliano,Li Fonti,Emiliano.Li Fonti@politu.it,RW96774049
d9062,Eberardo,Arcuri,Eberardo.Arcuri@politu.it,JJ28794432
