Id,Name,Surname,City,OfficialEmail,Birthday,SSN
900000,Ambra,Ferri,Poggio Ferro,s900000@students.politu.it,1991-11-04,MK97060783
900001,Gianfranco,Trentini,Fenestrelle,s900001@students.politu.it,1991-11-05,SP80523410
900002,Maria Rosa,Pugliesi,Villapiccola,s900002@students.politu.it,1991-11-05,ZO70355767
900003,Benito,Angelo,Appiano Strada Vino,s900003@students.politu.it,1991-11-06,FH21915512
900004,Algiso,Arcuri,Ambrogio,s900004@students.politu.it,1991-11-09,KU71485501
900005,Costantino,Genovese,Zollino,s900005@students.politu.it,1991-11-09,DZ27229300
900006,Medardo,Bianchi,San Nicolo' A Tordino,s900006@students.politu.it,1991-11-10,FO42789345
900007,Felice,Cocci,Colle,s900007@students.politu.it,1991-11-11,DC3938219
900008,Gastone,Buccho,Monte Antico,s900008@students.politu.it,1991-11-12,PN69370639
900009,Olga,Beneventi,Palmori,s900009@students.politu.it,1991-11-13,NT60462698
900010,Gavino,Angelo,St. Andra,s900010@students.politu.it,1991-11-13,BL9631314
900011,Aida,Conti,Borgetto,s900011@students.politu.it,1991-11-14,NK11964666
900012,Rosita,Trentino,Remedello,s900012@students.politu.it,1991-11-17,HO30480607
900013,Graziella,Greco,Laccio,s900013@students.politu.it,1991-11-17,YR77740469
900014,Aurelio,Lori,Arlena Di Castro,s900014@students.politu.it,1991-11-17,AS58933871
900015,Basso,Genovese,Lerino,s900015@students.politu.it,1991-11-21,KU75534392
900016,Bellina,Lorenzo,Montefortino,s900016@students.politu.it,1991-11-22,UK80463833
900017,Vera,Greece,Dragoni,s900017@students.politu.it,1991-11-23,XN19588878
900018,Uriele,Pugliesi,Frascarolo,s900018@students.politu.it,1991-11-24,FC38841318
900019,Lino,Russo,Cellere,s900019@students.politu.it,1991-11-29,PQ18972240
900020,Severino,Loggia,Calascibetta,s900020@students.politu.it,1991-11-29,MK59009960
900021,Crispino,Trentini,Coroncina,s900021@students.politu.it,1991-11-29,JT90688927
900022,Lucia,Capon,Buttapietra,s900022@students.politu.it,1991-12-04,YT6750540
900023,Mafalda,Arcuri,Montesilvano Spiaggia,s900023@students.politu.it,1991-12-07,NP15932362
900024,Nilde,Zito,Selve Marcone,s900024@students.politu.it,1991-12-08,QH39526426
900025,Eva,Trevisan,Stravino,s900025@students.politu.it,1991-12-09,HB35580590
900026,Nicla,Baresi,Montemarciano,s900026@students.politu.it,1991-12-12,BY75859842
900027,Azeglio,Ferri,Camandona,s900027@students.politu.it,1991-12-15,NJ42325066
900028,Fiorella,Lo Duca,Ancona,s900028@students.politu.it,1991-12-15,XK61804575
900029,Adalgiso,Lettiere,Riomagno,s900029@students.politu.it,1991-12-16,PR52716604
900030,Celeste,Nucci,Cicognara,s900030@students.politu.it,1991-12-17,HS55545861
